# stride_size,count
1,790598
2,585801
3,170505
4,121273
5,143445
6,156368
7,58453
8,73586
9,42197
10,40800
11,34990
12,35226
13,30138
14,29923
15,25346
16,26767
17,22358
18,22120
19,20652
20,21447
21,25889
22,19049
23,12762
24,47056
25,4682
26,5934
27,4228
28,4752
29,8015
30,14114
31,996
32,4722
1,726885
2,473533
3,169022
4,124454
5,130157
6,116038
7,62158
8,85585
9,44902
10,44781
11,38655
12,51637
13,30746
14,30046
15,25683
16,31435
17,22540
18,22966
19,20467
20,27408
21,22857
22,16703
23,11970
24,35302
25,5799
26,6611
27,5446
28,6054
29,8298
30,10166
31,3311
32,13495
