# stride_size,count
1,772760
2,553916
3,168714
4,121843
5,144309
6,151660
7,59739
8,78793
9,41869
10,40120
11,35938
12,33830
13,30178
14,29050
15,25463
16,27087
17,22016
18,22400
19,20679
20,21158
21,25483
22,16952
23,13315
24,47808
25,4926
26,6038
27,4612
28,4944
29,7289
30,11293
31,1836
32,8965
1,788502
2,553059
3,166456
4,122556
5,150542
6,137685
7,60191
8,81388
9,42119
10,41395
11,37346
12,37270
13,31356
14,29397
15,25108
16,27856
17,21881
18,22635
19,20460
20,22083
21,24182
22,16882
23,12631
24,45096
25,4842
26,6090
27,4770
28,5099
29,8603
30,12485
31,1489
32,7459
