# stride_size,count
1,227596
2,454342
3,54516
4,49763
5,33641
6,208773
7,18115
8,57668
9,11850
10,14020
11,9801
12,19766
13,8360
14,14982
15,7072
16,12381
17,6288
18,8149
19,5781
20,15840
21,5723
22,31453
23,4584
24,163232
25,1911
26,2219
27,1935
28,6922
29,5140
30,80903
31,511
32,30238
1,226482
2,422172
3,53610
4,49313
5,33463
6,185397
7,18332
8,54698
9,12065
10,14422
11,10366
12,22484
13,8234
14,15468
15,6938
16,12763
17,6357
18,8786
19,5823
20,18195
21,5661
22,30929
23,4589
24,142277
25,2145
26,2564
27,2188
28,6951
29,6222
30,75859
31,1525
32,52169
