# stride_size,count
1,1457804
2,605142
3,263420
4,215065
5,145518
6,122420
7,100379
8,93220
9,72234
10,67287
11,51167
12,46430
13,42867
14,40604
15,38748
16,37863
17,26333
18,20891
19,17683
20,19002
21,12297
22,8273
23,4334
24,2469
25,922
26,416
27,175
28,119
29,89
30,129
31,34
32,81
1,1483232
2,614980
3,261523
4,215137
5,145141
6,121224
7,97921
8,90995
9,71044
10,66463
11,51171
12,46227
13,42870
14,40994
15,39146
16,38548
17,26714
18,20749
19,17647
20,18422
21,12167
22,7946
23,4022
24,2456
25,818
26,380
27,144
28,106
29,82
30,127
31,28
32,35
